[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.pole | 位置：(-114.40, -38.06, 0.05) | 碰撞车速：70.4 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.sidewalk | 位置：(-114.57, -36.94, 0.19) | 碰撞车速：47.7 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.87, -32.75, 1.26) | 碰撞车速：36.1 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.87, -32.61, 1.27) | 碰撞车速：35.9 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.88, -32.47, 1.29) | 碰撞车速：35.8 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.89, -32.33, 1.30) | 碰撞车速：35.7 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.93, -31.81, 1.32) | 碰撞车速：35.8 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.94, -31.66, 1.32) | 碰撞车速：35.7 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.96, -31.54, 1.32) | 碰撞车速：35.4 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.97, -31.41, 1.32) | 碰撞车速：35.4 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-113.99, -31.30, 1.31) | 碰撞车速：34.6 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-114.01, -31.19, 1.30) | 碰撞车速：33.9 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-114.03, -31.06, 1.29) | 碰撞车速：33.3 km/h
[2026-06-10 15:05:48] 发生碰撞 | 碰撞对象：static.road | 位置：(-114.05, -30.95, 1.28) | 碰撞车速：33.3 km/h
[2026-06-10 15:05:49] 发生碰撞 | 碰撞对象：static.roadline | 位置：(-114.34, -29.69, 1.00) | 碰撞车速：33.8 km/h
